domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
leadership_approach|results_process_vision_people|concentrated|With Results clearly strongest, start from the condition it gives you: the outcome, owner, and next move are clear. Keep Process, Vision, and People available so the response can widen when the situation asks for more than the first move.|Results gives the work movement, clearer ownership, and visible progress. Process, Vision, and People extend that value when the work needs sequence, standards, and dependable structure, direction, meaning, and future consequence, or trust, communication, and shared commitment.|The pattern can tighten when movement answers the issue before structure, direction, or people impact has been checked. People may need to enter earlier when the first response has already created enough delivery.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Do this while Results is still working, so range arrives before the response becomes too narrow.|Results gives the start; People keeps the range in view.|active|leadership_approach::results_process_vision_people::concentrated
leadership_approach|results_process_vision_people|paired|Read Results and Process as a working pair. Let the outcome, owner, and next move are clear sit alongside the steps, standards, and handovers are clear enough to follow, then bring in Vision and People when the work needs more range.|Results and Process together connect decision, ownership, and follow-through with sequence, standards, and dependable structure. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Vision or People is needed to complete the picture. The risk is a context mismatch: the work may need trust, communication, and shared commitment sooner than the pair expects.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Bring in People when trust, communication, inclusion, or commitment needs more direct attention. The pair stays steadier when these checks arrive before the answer feels settled.|Results and Process carry the centre; People keeps the work rounded.|active|leadership_approach::results_process_vision_people::paired
leadership_approach|results_process_vision_people|graduated|Read the order as a stepped pattern of influence: Results, then Process, then Vision, with People added deliberately. The closing point is to follow that order while still making room for trust, communication, and shared commitment.|The rank order gives the work a clear movement from decision, ownership, and follow-through through sequence, standards, and dependable structure and direction, meaning, and future consequence. People adds the final range when the situation calls for trust, communication, and shared commitment.|The sequence can become too closed when later signals are left until the situation has already tightened. People matters when the work now needs trust, communication, and shared commitment.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for People before the work closes in.|active|leadership_approach::results_process_vision_people::graduated
leadership_approach|results_process_vision_people|balanced|Several leadership responses are available here. Use the rank order as a map: Results, Process, Vision, and People. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Results, Process, Vision, and People. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Results, Process, Vision, and People.|Name the current need before changing emphasis. Then bring in People when trust, communication, and shared commitment would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::results_process_vision_people::balanced
leadership_approach|results_process_people_vision|concentrated|With Results clearly strongest, start from the condition it gives you: the outcome, owner, and next move are clear. Keep Process, People, and Vision available so the response can widen when the situation asks for more than the first move.|Results gives the work movement, clearer ownership, and visible progress. Process, People, and Vision extend that value when the work needs sequence, standards, and dependable structure, trust, communication, and shared commitment, or direction, meaning, and future consequence.|The pattern can tighten when movement answers the issue before structure, direction, or people impact has been checked. Vision may need to enter earlier when the first response has already created enough delivery.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Do this while Results is still working, so range arrives before the response becomes too narrow.|Results gives the start; Vision keeps the range in view.|active|leadership_approach::results_process_people_vision::concentrated
leadership_approach|results_process_people_vision|paired|Read Results and Process as a working pair. Let the outcome, owner, and next move are clear sit alongside the steps, standards, and handovers are clear enough to follow, then bring in People and Vision when the work needs more range.|Results and Process together connect decision, ownership, and follow-through with sequence, standards, and dependable structure. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when People or Vision is needed to complete the picture. The risk is a context mismatch: the work may need direction, meaning, and future consequence sooner than the pair expects.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. The pair stays steadier when these checks arrive before the answer feels settled.|Results and Process carry the centre; Vision keeps the work rounded.|active|leadership_approach::results_process_people_vision::paired
leadership_approach|results_process_people_vision|graduated|Read the order as a stepped pattern of influence: Results, then Process, then People, with Vision added deliberately. The closing point is to follow that order while still making room for direction, meaning, and future consequence.|The rank order gives the work a clear movement from decision, ownership, and follow-through through sequence, standards, and dependable structure and trust, communication, and shared commitment. Vision adds the final range when the situation calls for direction, meaning, and future consequence.|The sequence can become too closed when later signals are left until the situation has already tightened. Vision matters when the work now needs direction, meaning, and future consequence.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Vision before the work closes in.|active|leadership_approach::results_process_people_vision::graduated
leadership_approach|results_process_people_vision|balanced|Several leadership responses are available here. Use the rank order as a map: Results, Process, People, and Vision. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Results, Process, People, and Vision. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Results, Process, People, and Vision.|Name the current need before changing emphasis. Then bring in Vision when direction, meaning, and future consequence would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::results_process_people_vision::balanced
leadership_approach|results_vision_process_people|concentrated|With Results clearly strongest, start from the condition it gives you: the outcome, owner, and next move are clear. Keep Vision, Process, and People available so the response can widen when the situation asks for more than the first move.|Results gives the work movement, clearer ownership, and visible progress. Vision, Process, and People extend that value when the work needs direction, meaning, and future consequence, sequence, standards, and dependable structure, or trust, communication, and shared commitment.|The pattern can tighten when movement answers the issue before structure, direction, or people impact has been checked. People may need to enter earlier when the first response has already created enough delivery.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Do this while Results is still working, so range arrives before the response becomes too narrow.|Results gives the start; People keeps the range in view.|active|leadership_approach::results_vision_process_people::concentrated
leadership_approach|results_vision_process_people|paired|Read Results and Vision as a working pair. Let the outcome, owner, and next move are clear sit alongside the work has a reason that connects today to what comes next, then bring in Process and People when the work needs more range.|Results and Vision together connect decision, ownership, and follow-through with direction, meaning, and future consequence. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Process or People is needed to complete the picture. The risk is a context mismatch: the work may need trust, communication, and shared commitment sooner than the pair expects.|Bring in Process when the work needs clearer steps, standards, or handover. Bring in People when trust, communication, inclusion, or commitment needs more direct attention. The pair stays steadier when these checks arrive before the answer feels settled.|Results and Vision carry the centre; People keeps the work rounded.|active|leadership_approach::results_vision_process_people::paired
leadership_approach|results_vision_process_people|graduated|Read the order as a stepped pattern of influence: Results, then Vision, then Process, with People added deliberately. The closing point is to follow that order while still making room for trust, communication, and shared commitment.|The rank order gives the work a clear movement from decision, ownership, and follow-through through direction, meaning, and future consequence and sequence, standards, and dependable structure. People adds the final range when the situation calls for trust, communication, and shared commitment.|The sequence can become too closed when later signals are left until the situation has already tightened. People matters when the work now needs trust, communication, and shared commitment.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for People before the work closes in.|active|leadership_approach::results_vision_process_people::graduated
leadership_approach|results_vision_process_people|balanced|Several leadership responses are available here. Use the rank order as a map: Results, Vision, Process, and People. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Results, Vision, Process, and People. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Results, Vision, Process, and People.|Name the current need before changing emphasis. Then bring in People when trust, communication, and shared commitment would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::results_vision_process_people::balanced
leadership_approach|results_vision_people_process|concentrated|With Results clearly strongest, start from the condition it gives you: the outcome, owner, and next move are clear. Keep Vision, People, and Process available so the response can widen when the situation asks for more than the first move.|Results gives the work movement, clearer ownership, and visible progress. Vision, People, and Process extend that value when the work needs direction, meaning, and future consequence, trust, communication, and shared commitment, or sequence, standards, and dependable structure.|The pattern can tighten when movement answers the issue before structure, direction, or people impact has been checked. Process may need to enter earlier when the first response has already created enough delivery.|Bring in Process when the work needs clearer steps, standards, or handover. Do this while Results is still working, so range arrives before the response becomes too narrow.|Results gives the start; Process keeps the range in view.|active|leadership_approach::results_vision_people_process::concentrated
leadership_approach|results_vision_people_process|paired|Read Results and Vision as a working pair. Let the outcome, owner, and next move are clear sit alongside the work has a reason that connects today to what comes next, then bring in People and Process when the work needs more range.|Results and Vision together connect decision, ownership, and follow-through with direction, meaning, and future consequence. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when People or Process is needed to complete the picture. The risk is a context mismatch: the work may need sequence, standards, and dependable structure sooner than the pair expects.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Bring in Process when the work needs clearer steps, standards, or handover. The pair stays steadier when these checks arrive before the answer feels settled.|Results and Vision carry the centre; Process keeps the work rounded.|active|leadership_approach::results_vision_people_process::paired
leadership_approach|results_vision_people_process|graduated|Read the order as a stepped pattern of influence: Results, then Vision, then People, with Process added deliberately. The closing point is to follow that order while still making room for sequence, standards, and dependable structure.|The rank order gives the work a clear movement from decision, ownership, and follow-through through direction, meaning, and future consequence and trust, communication, and shared commitment. Process adds the final range when the situation calls for sequence, standards, and dependable structure.|The sequence can become too closed when later signals are left until the situation has already tightened. Process matters when the work now needs sequence, standards, and dependable structure.|Bring in Process when the work needs clearer steps, standards, or handover. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Process before the work closes in.|active|leadership_approach::results_vision_people_process::graduated
leadership_approach|results_vision_people_process|balanced|Several leadership responses are available here. Use the rank order as a map: Results, Vision, People, and Process. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Results, Vision, People, and Process. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Results, Vision, People, and Process.|Name the current need before changing emphasis. Then bring in Process when sequence, standards, and dependable structure would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::results_vision_people_process::balanced
leadership_approach|results_people_process_vision|concentrated|With Results clearly strongest, start from the condition it gives you: the outcome, owner, and next move are clear. Keep People, Process, and Vision available so the response can widen when the situation asks for more than the first move.|Results gives the work movement, clearer ownership, and visible progress. People, Process, and Vision extend that value when the work needs trust, communication, and shared commitment, sequence, standards, and dependable structure, or direction, meaning, and future consequence.|The pattern can tighten when movement answers the issue before structure, direction, or people impact has been checked. Vision may need to enter earlier when the first response has already created enough delivery.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Do this while Results is still working, so range arrives before the response becomes too narrow.|Results gives the start; Vision keeps the range in view.|active|leadership_approach::results_people_process_vision::concentrated
leadership_approach|results_people_process_vision|paired|Read Results and People as a working pair. Let the outcome, owner, and next move are clear sit alongside people understand the work, their part in it, and how to commit, then bring in Process and Vision when the work needs more range.|Results and People together connect decision, ownership, and follow-through with trust, communication, and shared commitment. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Process or Vision is needed to complete the picture. The risk is a context mismatch: the work may need direction, meaning, and future consequence sooner than the pair expects.|Bring in Process when the work needs clearer steps, standards, or handover. Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. The pair stays steadier when these checks arrive before the answer feels settled.|Results and People carry the centre; Vision keeps the work rounded.|active|leadership_approach::results_people_process_vision::paired
leadership_approach|results_people_process_vision|graduated|Read the order as a stepped pattern of influence: Results, then People, then Process, with Vision added deliberately. The closing point is to follow that order while still making room for direction, meaning, and future consequence.|The rank order gives the work a clear movement from decision, ownership, and follow-through through trust, communication, and shared commitment and sequence, standards, and dependable structure. Vision adds the final range when the situation calls for direction, meaning, and future consequence.|The sequence can become too closed when later signals are left until the situation has already tightened. Vision matters when the work now needs direction, meaning, and future consequence.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Vision before the work closes in.|active|leadership_approach::results_people_process_vision::graduated
leadership_approach|results_people_process_vision|balanced|Several leadership responses are available here. Use the rank order as a map: Results, People, Process, and Vision. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Results, People, Process, and Vision. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Results, People, Process, and Vision.|Name the current need before changing emphasis. Then bring in Vision when direction, meaning, and future consequence would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::results_people_process_vision::balanced
leadership_approach|results_people_vision_process|concentrated|With Results clearly strongest, start from the condition it gives you: the outcome, owner, and next move are clear. Keep People, Vision, and Process available so the response can widen when the situation asks for more than the first move.|Results gives the work movement, clearer ownership, and visible progress. People, Vision, and Process extend that value when the work needs trust, communication, and shared commitment, direction, meaning, and future consequence, or sequence, standards, and dependable structure.|The pattern can tighten when movement answers the issue before structure, direction, or people impact has been checked. Process may need to enter earlier when the first response has already created enough delivery.|Bring in Process when the work needs clearer steps, standards, or handover. Do this while Results is still working, so range arrives before the response becomes too narrow.|Results gives the start; Process keeps the range in view.|active|leadership_approach::results_people_vision_process::concentrated
leadership_approach|results_people_vision_process|paired|Read Results and People as a working pair. Let the outcome, owner, and next move are clear sit alongside people understand the work, their part in it, and how to commit, then bring in Vision and Process when the work needs more range.|Results and People together connect decision, ownership, and follow-through with trust, communication, and shared commitment. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Vision or Process is needed to complete the picture. The risk is a context mismatch: the work may need sequence, standards, and dependable structure sooner than the pair expects.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Bring in Process when the work needs clearer steps, standards, or handover. The pair stays steadier when these checks arrive before the answer feels settled.|Results and People carry the centre; Process keeps the work rounded.|active|leadership_approach::results_people_vision_process::paired
leadership_approach|results_people_vision_process|graduated|Read the order as a stepped pattern of influence: Results, then People, then Vision, with Process added deliberately. The closing point is to follow that order while still making room for sequence, standards, and dependable structure.|The rank order gives the work a clear movement from decision, ownership, and follow-through through trust, communication, and shared commitment and direction, meaning, and future consequence. Process adds the final range when the situation calls for sequence, standards, and dependable structure.|The sequence can become too closed when later signals are left until the situation has already tightened. Process matters when the work now needs sequence, standards, and dependable structure.|Bring in Process when the work needs clearer steps, standards, or handover. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Process before the work closes in.|active|leadership_approach::results_people_vision_process::graduated
